order_date,order_id,region,city,product_category,product,sales_channel,customer_segment,sales_rep,units_sold,unit_price,discount_pct,revenue,profit_margin_pct,profit
2025-01-23,ORD-0159,East,Évora,Fitness,Treadmill,Partner,Enterprise,Ines,5,930.5,0.03,4512.93,0.4,1805.17
2025-01-24,ORD-0209,Central,Cascais,Home,Desk Lamp,Retail,SMB,Ana,2,57.68,0.03,111.9,0.3,33.57
2025-01-24,ORD-0258,West,Aveiro,Fitness,Dumbbells,Retail,SMB,Joao,10,127.08,0.0,1270.8,0.37,470.2
2025-01-24,ORD-0259,West,Aveiro,Fitness,Treadmill,Partner,SMB,Diogo,7,899.24,0.03,6105.84,0.22,1343.28
2025-01-24,ORD-0117,Central,Lisbon,Travel,Noise Cancelling Earbuds,Retail,SMB,Carla,6,227.8,0.05,1298.46,0.35,454.46
2025-01-24,ORD-0104,South,Beja,Electronics,Laptop,Retail,Consumer,Carla,10,1117.17,0.03,10836.55,0.35,3792.79
2025-01-25,ORD-0335,West,Leiria,Fitness,Yoga Mat,Partner,SMB,Bruno,4,33.45,0.05,127.11,0.38,48.3
2025-01-25,ORD-0191,South,Faro,Travel,Adapter,Online,Consumer,Ines,7,24.79,0.03,168.32,0.2,33.66
2025-01-26,ORD-0320,North,Viana do Castelo,Electronics,Monitor,Partner,SMB,Marta,5,327.93,0.08,1508.48,0.29,437.46
2025-01-26,ORD-0071,South,Beja,Home,Air Purifier,Partner,Consumer,Carla,4,211.75,0.03,821.59,0.17,139.67
2025-01-26,ORD-0136,Central,Cascais,Electronics,Monitor,Partner,Consumer,Marta,3,303.66,0.03,883.65,0.33,291.6
2025-01-26,ORD-0350,East,Évora,Home,Coffee Machine,Retail,SMB,Tiago,1,168.02,0.0,168.02,0.38,63.85
2025-01-27,ORD-0265,North,Braga,Fitness,Dumbbells,Online,SMB,Carla,11,113.14,0.12,1095.2,0.28,306.66
2025-01-27,ORD-0228,South,Faro,Home,Coffee Machine,Retail,Enterprise,Marta,2,149.49,0.0,298.98,0.29,86.7
2025-01-28,ORD-0287,South,Faro,Home,Coffee Machine,Retail,SMB,Marta,2,156.37,0.1,281.47,0.35,98.51
2025-01-28,ORD-0238,South,Beja,Fitness,Yoga Mat,Partner,Enterprise,Ana,10,35.99,0.12,316.71,0.24,76.01
2025-01-29,ORD-0145,West,Aveiro,Electronics,Tablet,Partner,Consumer,Ines,7,661.94,0.0,4633.58,0.19,880.38
2025-01-31,ORD-0275,North,Viana do Castelo,Home,Desk Lamp,Online,SMB,Joao,9,57.49,0.1,465.67,0.34,158.33
2025-02-02,ORD-0107,West,Aveiro,Electronics,Laptop,Retail,SMB,Joao,9,1124.94,0.1,9112.01,0.27,2460.24
2025-02-02,ORD-0067,East,Castelo Branco,Electronics,Monitor,Partner,Consumer,Tiago,2,323.79,0.0,647.58,0.26,168.37
2025-02-03,ORD-0113,Central,Lisbon,Fitness,Treadmill,Retail,SMB,Marta,12,967.45,0.0,11609.4,0.3,3482.82
2025-02-03,ORD-0096,North,Braga,Fitness,Smart Watch,Online,Consumer,Carla,9,261.28,0.05,2233.94,0.39,871.24
2025-02-03,ORD-0163,West,Aveiro,Electronics,Laptop,Partner,Consumer,Ines,3,1165.95,0.03,3392.91,0.33,1119.66
2025-02-03,ORD-0355,West,Coimbra,Electronics,Headphones,Retail,Consumer,Bruno,5,174.65,0.12,768.46,0.33,253.59
2025-02-04,ORD-0189,Central,Sintra,Fitness,Yoga Mat,Online,SMB,Carla,12,35.83,0.08,395.56,0.34,134.49
2025-02-05,ORD-0121,East,Guarda,Fitness,Treadmill,Online,SMB,Marta,3,882.75,0.03,2568.8,0.33,847.7
2025-02-05,ORD-0255,South,Faro,Electronics,Monitor,Partner,SMB,Carla,6,309.38,0.12,1633.53,0.29,473.72
2025-02-05,ORD-0347,West,Leiria,Electronics,Monitor,Online,Consumer,Tiago,4,304.63,0.1,1096.67,0.2,219.33
2025-02-05,ORD-0215,Central,Sintra,Home,Desk Lamp,Partner,Consumer,Bruno,11,57.33,0.0,630.63,0.24,151.35
2025-02-05,ORD-0021,West,Leiria,Fitness,Smart Watch,Online,Consumer,Tiago,9,241.3,0.0,2171.7,0.42,912.11
2025-02-05,ORD-0333,North,Viana do Castelo,Travel,Adapter,Retail,SMB,Marta,7,23.14,0.12,142.54,0.33,47.04
2025-02-06,ORD-0241,East,Guarda,Fitness,Smart Watch,Online,Enterprise,Tiago,6,243.26,0.08,1342.8,0.34,456.55
2025-02-07,ORD-0045,North,Porto,Travel,Backpack,Online,Enterprise,Tiago,1,91.19,0.1,82.07,0.37,30.37
2025-02-09,ORD-0194,West,Aveiro,Fitness,Smart Watch,Partner,Enterprise,Tiago,9,273.55,0.12,2166.52,0.35,758.28
2025-02-10,ORD-0354,North,Braga,Travel,Noise Cancelling Earbuds,Online,Enterprise,Marta,6,203.41,0.1,1098.41,0.33,362.48
2025-02-10,ORD-0011,West,Aveiro,Electronics,Headphones,Retail,Enterprise,Tiago,9,193.57,0.05,1655.02,0.38,628.91
2025-02-11,ORD-0034,South,Setúbal,Electronics,Tablet,Partner,SMB,Marta,11,682.32,0.12,6604.86,0.2,1320.97
2025-02-12,ORD-0052,West,Leiria,Electronics,Headphones,Partner,Enterprise,Ana,2,177.94,0.12,313.17,0.38,119.0
2025-02-12,ORD-0276,East,Castelo Branco,Fitness,Treadmill,Online,SMB,Marta,5,837.2,0.1,3767.4,0.33,1243.24
2025-02-12,ORD-0097,East,Guarda,Fitness,Dumbbells,Online,SMB,Bruno,3,126.91,0.03,369.31,0.34,125.57
2025-02-13,ORD-0352,East,Guarda,Travel,Adapter,Partner,Consumer,Joao,6,23.46,0.03,136.54,0.24,32.77
2025-02-13,ORD-0309,West,Leiria,Electronics,Laptop,Retail,Enterprise,Tiago,12,1186.81,0.0,14241.72,0.32,4557.35
2025-02-14,ORD-0249,Central,Lisbon,Travel,Adapter,Online,Consumer,Joao,8,23.21,0.1,167.11,0.23,38.44
2025-02-14,ORD-0106,North,Viana do Castelo,Electronics,Tablet,Online,SMB,Diogo,10,599.64,0.05,5696.58,0.2,1139.32
2025-02-14,ORD-0041,Central,Cascais,Fitness,Smart Watch,Partner,Consumer,Ines,5,257.08,0.03,1246.84,0.29,361.58
2025-02-15,ORD-0301,East,Castelo Branco,Electronics,Tablet,Partner,Enterprise,Carla,2,687.51,0.1,1237.52,0.41,507.38
2025-02-15,ORD-0304,North,Viana do Castelo,Travel,Suitcase,Online,Enterprise,Joao,10,143.13,0.03,1388.36,0.15,208.25
2025-02-15,ORD-0127,West,Coimbra,Travel,Adapter,Partner,SMB,Carla,8,24.88,0.0,199.04,0.31,61.7
2025-02-16,ORD-0077,Central,Sintra,Travel,Suitcase,Retail,SMB,Marta,6,143.81,0.05,819.72,0.38,311.49
2025-02-16,ORD-0053,North,Braga,Travel,Adapter,Online,SMB,Joao,6,24.11,0.08,133.09,0.41,54.57
2025-02-17,ORD-0314,East,Guarda,Fitness,Yoga Mat,Retail,Consumer,Ines,8,33.68,0.08,247.88,0.37,91.72
2025-02-18,ORD-0324,West,Leiria,Travel,Noise Cancelling Earbuds,Partner,SMB,Ana,9,204.71,0.03,1787.12,0.33,589.75
2025-02-20,ORD-0232,West,Leiria,Home,Air Purifier,Online,SMB,Joao,10,220.22,0.08,2026.02,0.22,445.72
2025-02-20,ORD-0326,East,Guarda,Travel,Noise Cancelling Earbuds,Partner,Consumer,Ana,4,219.61,0.05,834.52,0.25,208.63
2025-02-21,ORD-0295,Central,Lisbon,Electronics,Headphones,Partner,SMB,Tiago,9,175.51,0.08,1453.22,0.29,421.43
2025-02-22,ORD-0080,East,Évora,Home,Air Purifier,Retail,Enterprise,Tiago,2,225.9,0.0,451.8,0.3,135.54
2025-02-22,ORD-0273,South,Beja,Fitness,Smart Watch,Partner,Enterprise,Bruno,5,257.4,0.12,1132.56,0.41,464.35
2025-02-23,ORD-0030,East,Castelo Branco,Fitness,Smart Watch,Retail,Consumer,Bruno,11,273.7,0.08,2769.84,0.13,360.08
2025-02-23,ORD-0105,Central,Lisbon,Home,Air Purifier,Online,Enterprise,Ana,5,226.38,0.03,1097.94,0.28,307.42
2025-02-25,ORD-0056,West,Aveiro,Fitness,Dumbbells,Online,Enterprise,Bruno,3,112.48,0.05,320.57,0.13,41.67
2025-02-26,ORD-0141,West,Coimbra,Electronics,Headphones,Online,SMB,Joao,4,194.24,0.08,714.8,0.23,164.4
2025-02-26,ORD-0291,South,Faro,Travel,Adapter,Partner,Enterprise,Bruno,10,24.04,0.1,216.36,0.36,77.89
2025-02-26,ORD-0051,West,Leiria,Fitness,Smart Watch,Retail,Consumer,Marta,6,267.45,0.12,1412.14,0.24,338.91
2025-02-27,ORD-0036,North,Viana do Castelo,Home,Coffee Machine,Retail,SMB,Bruno,5,163.62,0.05,777.19,0.24,186.53
2025-02-28,ORD-0202,South,Setúbal,Fitness,Yoga Mat,Retail,Consumer,Bruno,1,34.55,0.12,30.4,0.35,10.64
2025-02-28,ORD-0089,North,Braga,Electronics,Laptop,Retail,Consumer,Ines,1,1166.28,0.0,1166.28,0.14,163.28
2025-02-28,ORD-0076,Central,Cascais,Electronics,Monitor,Partner,Consumer,Carla,8,327.76,0.1,2359.87,0.39,920.35
2025-03-01,ORD-0263,West,Aveiro,Electronics,Laptop,Online,Consumer,Tiago,2,1217.99,0.03,2362.9,0.28,661.61
2025-03-01,ORD-0065,North,Viana do Castelo,Home,Air Purifier,Online,Enterprise,Carla,4,218.02,0.03,845.92,0.2,169.18
2025-03-02,ORD-0103,East,Castelo Branco,Fitness,Dumbbells,Online,SMB,Ines,4,128.62,0.0,514.48,0.37,190.36
2025-03-02,ORD-0322,North,Viana do Castelo,Travel,Adapter,Retail,Consumer,Joao,5,24.12,0.05,114.57,0.27,30.93
2025-03-03,ORD-0274,North,Porto,Electronics,Headphones,Online,SMB,Ana,5,186.96,0.12,822.62,0.34,279.69
2025-03-03,ORD-0169,West,Leiria,Fitness,Smart Watch,Online,Consumer,Bruno,1,278.53,0.05,264.6,0.38,100.55
2025-03-03,ORD-0081,South,Setúbal,Electronics,Headphones,Online,Consumer,Bruno,8,184.25,0.0,1474.0,0.17,250.58
2025-03-03,ORD-0358,East,Guarda,Electronics,Tablet,Partner,Enterprise,Marta,7,606.2,0.03,4116.1,0.25,1029.03
2025-03-03,ORD-0063,West,Aveiro,Travel,Noise Cancelling Earbuds,Online,Consumer,Ines,4,226.75,0.08,834.44,0.21,175.23
2025-03-04,ORD-0243,Central,Lisbon,Home,Air Purifier,Partner,SMB,Tiago,4,214.36,0.08,788.84,0.18,141.99
2025-03-04,ORD-0230,Central,Cascais,Home,Coffee Machine,Online,Consumer,Ines,5,159.82,0.05,759.14,0.14,106.28
2025-03-05,ORD-0257,West,Coimbra,Home,Air Purifier,Partner,SMB,Marta,8,214.49,0.0,1715.92,0.38,652.05
2025-03-08,ORD-0286,East,Guarda,Fitness,Dumbbells,Retail,SMB,Diogo,2,113.01,0.03,219.24,0.35,76.73
2025-03-08,ORD-0158,West,Leiria,Fitness,Smart Watch,Online,Consumer,Carla,2,246.38,0.08,453.34,0.33,149.6
2025-03-09,ORD-0013,Central,Lisbon,Electronics,Monitor,Partner,Enterprise,Diogo,3,333.44,0.05,950.3,0.28,266.08
2025-03-10,ORD-0152,North,Viana do Castelo,Travel,Suitcase,Retail,Enterprise,Carla,9,136.0,0.05,1162.8,0.14,162.79
2025-03-11,ORD-0048,East,Guarda,Electronics,Tablet,Online,Consumer,Marta,12,671.47,0.03,7815.91,0.14,1094.23
2025-03-12,ORD-0268,North,Porto,Fitness,Treadmill,Partner,SMB,Diogo,9,901.37,0.1,7301.1,0.34,2482.37
2025-03-12,ORD-0128,Central,Lisbon,Fitness,Treadmill,Retail,SMB,Tiago,1,881.1,0.0,881.1,0.21,185.03
2025-03-12,ORD-0332,East,Guarda,Fitness,Dumbbells,Online,Consumer,Diogo,1,118.16,0.1,106.34,0.22,23.39
2025-03-12,ORD-0262,North,Viana do Castelo,Fitness,Dumbbells,Online,SMB,Carla,1,122.41,0.08,112.62,0.34,38.29
2025-03-12,ORD-0319,Central,Sintra,Electronics,Headphones,Online,SMB,Carla,3,182.53,0.1,492.83,0.35,172.49
2025-03-12,ORD-0183,East,Castelo Branco,Travel,Noise Cancelling Earbuds,Retail,Consumer,Ines,1,236.03,0.05,224.23,0.14,31.39
2025-03-13,ORD-0115,Central,Lisbon,Travel,Suitcase,Partner,Enterprise,Ines,1,134.92,0.03,130.87,0.35,45.8
2025-03-14,ORD-0139,West,Aveiro,Travel,Backpack,Online,Enterprise,Carla,5,97.15,0.0,485.75,0.38,184.59
2025-03-14,ORD-0260,East,Évora,Home,Coffee Machine,Retail,Enterprise,Ana,1,163.23,0.0,163.23,0.37,60.4
2025-03-15,ORD-0187,North,Porto,Home,Desk Lamp,Online,SMB,Carla,1,57.53,0.08,52.93,0.18,9.53
2025-03-15,ORD-0218,North,Viana do Castelo,Travel,Backpack,Online,Consumer,Carla,4,96.82,0.03,375.66,0.2,75.13
2025-03-16,ORD-0313,North,Braga,Electronics,Monitor,Retail,SMB,Tiago,11,299.07,0.05,3125.28,0.28,875.08
2025-03-16,ORD-0188,North,Porto,Fitness,Treadmill,Retail,SMB,Tiago,11,903.5,0.1,8944.65,0.39,3488.41
2025-03-16,ORD-0351,East,Évora,Fitness,Smart Watch,Partner,Consumer,Bruno,1,274.64,0.0,274.64,0.32,87.88
2025-03-16,ORD-0082,Central,Cascais,Fitness,Smart Watch,Retail,SMB,Diogo,8,245.22,0.1,1765.58,0.18,317.8
2025-03-17,ORD-0269,North,Porto,Travel,Noise Cancelling Earbuds,Online,Consumer,Tiago,11,204.9,0.1,2028.51,0.39,791.12
2025-03-18,ORD-0207,West,Leiria,Travel,Backpack,Online,SMB,Carla,8,95.95,0.0,767.6,0.41,314.72
2025-03-18,ORD-0247,Central,Cascais,Electronics,Tablet,Retail,Consumer,Diogo,5,617.04,0.0,3085.2,0.33,1018.12
2025-03-18,ORD-0027,West,Coimbra,Electronics,Laptop,Retail,Enterprise,Bruno,2,1144.93,0.1,2060.87,0.2,412.17
2025-03-18,ORD-0084,Central,Cascais,Travel,Backpack,Retail,Enterprise,Tiago,6,95.79,0.05,546.0,0.28,152.88
2025-03-19,ORD-0167,West,Leiria,Travel,Adapter,Retail,Consumer,Ana,3,24.66,0.08,68.06,0.26,17.7
2025-03-19,ORD-0093,South,Setúbal,Travel,Suitcase,Online,SMB,Joao,10,151.04,0.05,1434.88,0.21,301.32
2025-03-20,ORD-0342,South,Faro,Electronics,Monitor,Retail,SMB,Joao,7,345.37,0.12,2127.48,0.22,468.05
2025-03-20,ORD-0212,East,Guarda,Travel,Noise Cancelling Earbuds,Online,Enterprise,Tiago,6,215.45,0.03,1253.92,0.24,300.94
2025-03-21,ORD-0281,East,Castelo Branco,Travel,Suitcase,Retail,Consumer,Ines,10,145.37,0.05,1381.01,0.19,262.39
2025-03-21,ORD-0040,West,Coimbra,Travel,Adapter,Partner,Consumer,Diogo,7,26.76,0.12,164.84,0.32,52.75
2025-03-21,ORD-0057,Central,Cascais,Travel,Noise Cancelling Earbuds,Partner,Consumer,Bruno,10,231.64,0.12,2038.43,0.19,387.3
2025-03-22,ORD-0038,West,Aveiro,Electronics,Headphones,Partner,Consumer,Ines,1,178.16,0.12,156.78,0.28,43.9
2025-03-22,ORD-0112,East,Guarda,Home,Coffee Machine,Online,Consumer,Bruno,2,149.67,0.08,275.39,0.34,93.63
2025-03-22,ORD-0123,Central,Sintra,Travel,Noise Cancelling Earbuds,Retail,Consumer,Marta,1,208.45,0.05,198.03,0.4,79.21
2025-03-23,ORD-0234,East,Évora,Travel,Backpack,Retail,SMB,Ines,7,89.13,0.05,592.71,0.29,171.89
2025-03-24,ORD-0296,West,Coimbra,Home,Desk Lamp,Retail,Enterprise,Diogo,1,51.12,0.05,48.56,0.42,20.4
2025-03-25,ORD-0008,North,Porto,Electronics,Monitor,Retail,SMB,Bruno,4,339.27,0.1,1221.37,0.21,256.49
2025-03-25,ORD-0289,South,Faro,Home,Air Purifier,Retail,Enterprise,Ana,11,201.94,0.05,2110.27,0.42,886.31
2025-03-26,ORD-0088,Central,Sintra,Fitness,Smart Watch,Partner,Consumer,Bruno,4,267.67,0.12,942.2,0.21,197.86
2025-03-26,ORD-0239,West,Leiria,Electronics,Laptop,Retail,Consumer,Diogo,8,1179.1,0.05,8961.16,0.35,3136.41
2025-03-26,ORD-0192,East,Évora,Electronics,Monitor,Partner,SMB,Diogo,1,300.45,0.12,264.4,0.21,55.52
2025-03-26,ORD-0078,West,Aveiro,Travel,Adapter,Partner,SMB,Ana,8,24.26,0.0,194.08,0.22,42.7
2025-03-27,ORD-0031,South,Beja,Fitness,Yoga Mat,Partner,SMB,Marta,9,32.83,0.0,295.47,0.4,118.19
2025-03-27,ORD-0148,South,Faro,Fitness,Dumbbells,Partner,Consumer,Tiago,12,122.53,0.08,1352.73,0.36,486.98
2025-03-27,ORD-0306,West,Leiria,Fitness,Yoga Mat,Online,Enterprise,Bruno,6,36.61,0.05,208.68,0.34,70.95
2025-03-27,ORD-0233,West,Aveiro,Home,Air Purifier,Retail,Enterprise,Diogo,8,199.17,0.05,1513.69,0.24,363.29
2025-03-28,ORD-0116,East,Castelo Branco,Home,Office Chair,Partner,Enterprise,Marta,2,290.8,0.03,564.15,0.41,231.3
2025-03-28,ORD-0125,South,Setúbal,Home,Desk Lamp,Partner,Enterprise,Bruno,9,52.31,0.1,423.71,0.35,148.3
2025-03-28,ORD-0004,North,Porto,Travel,Suitcase,Retail,SMB,Ines,1,139.09,0.12,122.4,0.16,19.58
2025-03-29,ORD-0168,Central,Lisbon,Fitness,Dumbbells,Partner,SMB,Marta,3,120.29,0.05,342.83,0.15,51.42
2025-03-29,ORD-0062,East,Évora,Fitness,Treadmill,Partner,Consumer,Bruno,4,886.53,0.12,3120.59,0.29,904.97
2025-03-30,ORD-0164,Central,Sintra,Electronics,Monitor,Online,Enterprise,Ines,3,309.9,0.12,818.14,0.28,229.08
2025-03-31,ORD-0028,North,Porto,Fitness,Dumbbells,Online,SMB,Ines,10,120.56,0.12,1060.93,0.32,339.5
2025-03-31,ORD-0126,South,Faro,Electronics,Tablet,Retail,Consumer,Carla,10,677.06,0.03,6567.48,0.32,2101.59
2025-04-01,ORD-0219,East,Guarda,Electronics,Monitor,Retail,SMB,Diogo,12,309.76,0.03,3605.61,0.37,1334.08
2025-04-01,ORD-0154,Central,Sintra,Fitness,Treadmill,Online,Enterprise,Marta,6,943.36,0.1,5094.14,0.32,1630.12
2025-04-01,ORD-0114,North,Viana do Castelo,Home,Office Chair,Partner,SMB,Diogo,2,295.47,0.05,561.39,0.23,129.12
2025-04-02,ORD-0090,East,Guarda,Home,Office Chair,Partner,SMB,Carla,3,261.14,0.03,759.92,0.38,288.77
2025-04-03,ORD-0135,East,Castelo Branco,Home,Air Purifier,Retail,Consumer,Diogo,3,195.79,0.03,569.75,0.37,210.81
2025-04-05,ORD-0282,Central,Sintra,Home,Office Chair,Online,Consumer,Marta,1,281.86,0.03,273.4,0.31,84.75
2025-04-06,ORD-0147,East,Évora,Electronics,Monitor,Online,SMB,Diogo,12,326.57,0.12,3448.58,0.35,1207.0
2025-04-06,ORD-0302,West,Aveiro,Electronics,Monitor,Retail,SMB,Carla,3,342.97,0.12,905.44,0.36,325.96
2025-04-06,ORD-0280,North,Viana do Castelo,Electronics,Tablet,Online,Enterprise,Ana,7,689.21,0.0,4824.47,0.38,1833.3
2025-04-07,ORD-0181,East,Castelo Branco,Travel,Adapter,Partner,SMB,Ines,10,23.77,0.08,218.68,0.19,41.55
2025-04-07,ORD-0005,North,Viana do Castelo,Fitness,Dumbbells,Partner,Consumer,Bruno,1,114.78,0.12,101.01,0.21,21.21
2025-04-08,ORD-0086,West,Aveiro,Home,Coffee Machine,Online,Consumer,Joao,2,149.75,0.08,275.54,0.39,107.46
2025-04-08,ORD-0200,West,Coimbra,Travel,Suitcase,Partner,Enterprise,Carla,11,131.46,0.05,1373.76,0.42,576.98
2025-04-08,ORD-0110,Central,Cascais,Fitness,Smart Watch,Partner,Enterprise,Marta,2,243.96,0.12,429.37,0.32,137.4
2025-04-10,ORD-0023,East,Guarda,Fitness,Smart Watch,Partner,Enterprise,Tiago,3,251.54,0.03,731.98,0.41,300.11
2025-04-11,ORD-0201,Central,Lisbon,Home,Desk Lamp,Online,SMB,Tiago,11,55.39,0.12,536.18,0.28,150.13
2025-04-12,ORD-0098,Central,Sintra,Electronics,Headphones,Online,SMB,Bruno,8,184.98,0.05,1405.85,0.32,449.87
2025-04-12,ORD-0331,Central,Lisbon,Electronics,Monitor,Partner,Enterprise,Ines,5,299.93,0.12,1319.69,0.14,184.76
2025-04-12,ORD-0223,North,Braga,Home,Office Chair,Partner,SMB,Joao,7,263.87,0.12,1625.44,0.42,682.68
2025-04-13,ORD-0173,North,Viana do Castelo,Home,Air Purifier,Partner,SMB,Bruno,7,208.33,0.1,1312.48,0.28,367.49
2025-04-14,ORD-0325,South,Beja,Electronics,Tablet,Online,Consumer,Ana,4,645.47,0.0,2581.88,0.4,1032.75
2025-04-14,ORD-0193,Central,Cascais,Fitness,Treadmill,Partner,SMB,Joao,10,859.55,0.03,8337.64,0.16,1334.02
2025-04-14,ORD-0079,Central,Lisbon,Travel,Noise Cancelling Earbuds,Online,Consumer,Joao,10,224.41,0.08,2064.57,0.35,722.6
2025-04-15,ORD-0338,Central,Sintra,Home,Air Purifier,Partner,Consumer,Bruno,8,214.4,0.05,1629.44,0.17,277.0
2025-04-15,ORD-0049,East,Évora,Travel,Noise Cancelling Earbuds,Online,Consumer,Marta,7,235.7,0.1,1484.91,0.13,193.04
